Regions,GN_GS,primary_data_type,primary_data_type_category,primary_dataset_source,primary_data_ownership,reference_comparison_dataset,reference_data_category,reference_ownership_broader,measurement_approach,direct_indirect_measure,method_of_inequality_measure,author and title
USA,GN,Road network data,transportation,OpenStreetMap road data for counties in the contiguous United States,Crowdsourced/VGI/open data,U.S. Census TIGER road data,transportation,Government / authoritative,Dataset comparison; reference-based comparison; spatial/statistical comparison; rural-urban comparison,Indirect,County-level completeness and positional accuracy indicators; ANOVA and boxplot comparisons; no formal inequality index,Li et al. - 2025 - Mapping the Completeness and Positional Accuracy of OpenStreetMap Road Data at the County Level in t.pdf
Multiple countries,Multiple countries,User-generated information / digital knowledge representation,geospatial metadata / contribution activity,Wikipedia and other user-generated information indicators across places,user-centered survey,Population/connectivity/geographic context used to interpret representation,population / socioeconomic / demographic data,Multiple ownership,Direct inequality assessment; spatial/statistical comparison; digital divide/informational representation assessment,Direct,Spatial distribution analysis of user-generated information; representation gaps; no single formal geospatial data quality index,Graham et al. - 2014 - Uneven Geographies of User-Generated Information Patterns of Increasing Informational Poverty.pdf
China,GS,Building data / OSM building footprints,building / settlement data,"OSM building data in China, 2012–2017",Crowdsourced/VGI/open data,No national authoritative building reference dataset used,no external reference data,None,Intrinsic evaluation; temporal/evolution analysis; spatial/statistical comparison; proxy/contextual association,Indirect,Building count and density indicators; temporal growth analysis; grid-based comparison; correlation with GDP/OSM roads; no formal inequality index,"Tian et al. - 2019 - An Analysis of the Evolution, Completeness and Spatial Patterns of OpenStreetMap Building Data in Ch.pdf"
Portugal,GN,Land-use/land-cover data / OSM historical LULC features,land-use / land-cover,OpenStreetMap historical contributions used to create annual LULC datasets,Crowdsourced/VGI/open data,CORINE Land Cover; official Portuguese Land Cover Map,land-use / land-cover data,Government / authoritative,Dataset comparison; reference-based comparison; temporal/evolution analysis; training-sample fitness assessment,Indirect,Completeness ratio; thematic accuracy percentages; near-boundary accuracy assessment; no formal inequality index,Viana et al. - 2019 - The Value of OpenStreetMap Historical Contributions as a Source of Sampling Data for Multi-Temporal.pdf
Mozambique,GS,Built-up area / settlement data,building / settlement data,OpenStreetMap built-up area data for Mozambique,Crowdsourced/VGI/open data,High-resolution satellite imagery and deep-learning-derived built-up mapping used to identify missing OSM areas,imagery / remote sensing data,Multiple ownership,Proxy-based assessment; remote sensing validation; deep learning; spatial/statistical comparison; humanitarian mapping assessment,Indirect,Proxy-based missing-data detection; clustering; deep-learning classification accuracy; no formal inequality index,Li et al. - 2020 - Exploration of OpenStreetMap missing built-up areas using twitter hierarchical clustering and deep l.pdf
USA,GN,Building data / building footprints,building / settlement data,"OpenStreetMap building footprints for Las Vegas, Nevada",Crowdsourced/VGI/open data,Deep-learning-extracted building footprints from high-resolution remote sensing imagery,building / settlement data,Multiple ownership,Remote sensing validation; deep learning; dataset comparison; reference/proxy-based assessment,Indirect,Feature matching; completeness measures; positional accuracy indicators; no formal inequality index,Xie et al. - 2019 - OpenStreetMap Data Quality Assessment via Deep Learning and Remote Sensing Imagery.pdf
"Multiple countries (USA, Switzerland, Israel)",GN,Road network data for environmental exposure assessment,transportation,"OpenStreetMap major road data for Eastern Massachusetts, Bern, and Beer-Sheva/South Israel",Crowdsourced/VGI/open data,Governmental Major Road Data (GRD),transportation,Government / authoritative,Dataset comparison; reference-based comparison; fitness-for-use assessment; spatial/statistical comparison,Indirect,Completeness and positional accuracy comparison; exposure model agreement/R²; no formal inequality index,"Kloog et al. - 2018 - Using Open Street Map Data in Environmental Exposure Assessment Studies Eastern Massachusetts, Bern.pdf"
Multiple countries,Multiple countries,Building data / urban building footprints,building / settlement data,"OpenStreetMap building data for 13,189 urban agglomerations globally",Crowdsourced/VGI/open data,Machine-learning-inferred completeness framework using global urban/built environment context,other reference,Research / open data,Direct inequality assessment; proxy/model-based assessment; spatial/statistical comparison; temporal/evolution analysis,Direct,Machine-learning completeness estimation; city-level and group inequality comparison; temporal bias analysis; no Gini/Theil in main coding,Herfort et al. - 2023 - A spatio-temporal analysis investigating completeness and inequalities of global urban building data.pdf
China,GS,"Multi-feature OSM data / roads, POIs, topology, names and update indicators",multi-feature topographic,"OpenStreetMap data quality indicators for China, 2014–2020",Crowdsourced/VGI/open data,GDP data and spatial socioeconomic outcomes used for modeling; no single authoritative geospatial reference for all indicators,population / socioeconomic / demographic data,Multiple ownership,Composite index construction; spatial/statistical comparison; temporal/evolution analysis; model-based assessment,Indirect,EWM-TOPSIS quality index; spatial autocorrelation; GTWR; machine-learning GDP simulation; no formal inequality index,Han et al. - 2025 - Research on multiscale OpenStreetMap in China data quality assessment with EWM-TOPSIS and GDP model.pdf
Multiple countries,Multiple countries,Road network data,transportation,Global OpenStreetMap road network data,Crowdsourced/VGI/open data,Satellite imagery visual assessment; contribution-history saturation model; existing global road datasets for comparison,mixed reference data,Multiple ownership,Proxy-based assessment; model-based completeness estimation; temporal/evolution analysis; spatial/statistical comparison,Direct,Country-level completeness estimation; multilevel regression/poststratification; saturation curve modeling; no formal inequality index,Barrington-Leigh and Millard-Ball - 2017 - The world’s user-generated road map is more than 80% complete.pdf
Multiple countries,Multiple countries,Humanitarian mapping contributions / roads and buildings,geospatial metadata / contribution activity,"OpenStreetMap full-history data, humanitarian mapping activity since 2008",Crowdsourced/VGI/open data,Human Development Index groups and population used as comparison context,population / socioeconomic / demographic data,International Organization,Direct inequality assessment; temporal/evolution analysis; contributor/organization analysis; spatial/statistical comparison,Direct,Contribution counts by HDI/population groups; temporal mapping analysis; spatial distribution comparison; no formal inequality index,Herfort et al. - 2021 - The evolution of humanitarian mapping within the OpenStreetMap community.pdf
Multiple countries,Multiple countries,OSM contribution activity / VGI mapping progress,geospatial metadata / contribution activity,"Worldwide OpenStreetMap contribution history, 2006–2013",Crowdsourced/VGI/open data,No external reference dataset,no external reference data,None,Intrinsic evaluation; temporal/evolution analysis; contributor/activity analysis; spatial/statistical comparison,Indirect,Activity-stage classification; temporal contribution analysis; spatial comparison; no formal inequality index,Gröchenig et al. - 2014 - Digging into the history of VGI data-sets results from a worldwide study on OpenStreetMap mapping a.pdf
Iraq,GS,Building data / OSM building footprints and attributes,building / settlement data,"OpenStreetMap building dataset for two study areas in Baghdad, Iraq",Crowdsourced/VGI/open data,Reference building dataset for Baghdad study areas,building / settlement data,Multiple ownership,Dataset comparison; reference-based comparison; spatial/statistical comparison; multi-dimensional building quality assessment,Indirect,Shape similarity metrics; orientation consistency; attribute accuracy checks; no formal inequality index,Yas - 2025 - International Journal on Technical and Physical Problems of Engineering (IJTPE).pdf
"Multiple countries (Haiti, Dominica, and St. Lucia)",GS,Building data / OSM building footprints,building / settlement data,"OpenStreetMap building footprints for Haiti, Dominica, and St. Lucia",Crowdsourced/VGI/open data,Remote sensing predictors and derived land-cover/built-up classifications used to predict/validate completeness,imagery / remote sensing data,Multiple ownership,Proxy-based assessment; remote sensing/model-based completeness assessment; spatial/statistical comparison; disaster-risk fitness assessment,Indirect,Remote-sensing predictor model; explained variance in completeness; spatial gap detection; no formal inequality index,Goldblatt et al. - 2020 - Assessing OpenStreetMap Completeness for Management of Natural Disaster by Means of Remote Sensing.pdf
Multiple countries,Multiple countries,OSM organizational contribution data / mapped feature completeness,geospatial metadata / contribution activity,OpenStreetMap contributions by organizations across nations,Crowdsourced/VGI/open data,National OSM completeness/inequality baseline used for comparison,other reference,Multiple ownership,Direct inequality assessment; contributor/organization analysis; spatial/statistical comparison; formal inequality index,Direct,Gini coefficient; spectral analysis; robust correlation analysis; country-level inequality comparison,Yang et al. - 2024 - How do contributions of organizations impact data inequality in OpenStreetMap.pdf
China,GS,Land-use data / OSM land-use classes,land-use / land-cover,"OpenStreetMap land use data for 332 Chinese cities, 2022",Crowdsourced/VGI/open data,China Urban Land Use Mapping dataset,land-use / land-cover data,Research / open data,Dataset comparison; reference-based comparison; spatial/statistical comparison; socioeconomic association/regression analysis,Indirect,Completeness and accuracy rates; regression with socioeconomic indicators; no formal inequality index,Shang et al. - 2026 - OSM land use data quality and its association with city-level socioeconomic conditions in China.pdf
Low-and middle income countries in Sub-Saharan African,GS,Spatial information on deprived urban areas / slum mapping information needs,urban/slum mapping,User requirements and EO-based information system specifications for deprived urban areas in LMICs,user-centered survey,Existing deprivation/slum information gaps and user requirements,other reference,Research / open data,Direct data gap assessment; user-needs assessment; access/availability assessment; framework/specification development,Direct,User requirement analysis; specification synthesis; no formal inequality index,Kuffer et al. - 2021 - Spatial Information Gaps on Deprived Urban Areas (Slums) in Low-and-Middle-Income-Countries A User-.pdf
"Multiple countries (Germany, France, US, Netherlands)",GN,OSM contribution data / contributor productivity,geospatial metadata / contribution activity,OpenStreetMap contribution history for four countries,Crowdsourced/VGI/open data,No external reference dataset,no external reference data,None,Direct inequality assessment; contributor/activity analysis; temporal/evolution analysis; formal inequality index,Direct,Lorenz curve; Gini coefficient; quantile classification; Mann-Whitney-Wilcoxon test,Yang et al. - 2016 - Temporal Analysis on Contribution Inequality in OpenStreetMap A Comparative Study for Four Countrie.pdf
South Africa,GS,Renewable energy infrastructure data / wind turbine point features and attributes,infrastructure / environmental,OpenStreetMap wind turbine data for South Africa combined with satellite imagery and curated public sources,Crowdsourced/VGI/open data,High-resolution Google and Bing satellite imagery; multiple public wind-energy sources,mixed reference data,Multiple ownership,Data integration/curation; remote sensing validation; deep learning; attribute completeness assessment,Indirect,Deep-learning coordinate correction; manual validation; attribute completeness/consistency checks; no formal inequality index,"Kleebauer et al. - 2025 - A Wind Turbines Dataset for South Africa OpenStreetMap Data, Deep Learning Based Geo-Coordinate Cor.pdf"
Multiple countries,Multiple countries,Building data / OSM building footprints,building / settlement data,"OpenStreetMap building data for 12,975 cities globally",Crowdsourced/VGI/open data,Population grid data used as proxy for reference building data,population / socioeconomic / demographic data,Research / open data,Proxy-based assessment; spatial/statistical comparison; global completeness assessment,Direct,Population-grid proxy completeness estimation; city/grid comparison; overall accuracy and R² validation; no formal inequality index,"Zhou et al. - 2022 - Assessing OSM building completeness for almost 13,000 cities globally.pdf"
Portugal,GN,Waterway/hydrography line data,infrastructure / environmental,"OpenStreetMap waterway features for a mountain region in the Mondego River basin, Portugal, 2014–2023",Crowdsourced/VGI/open data,"Military official hydrography at 1:25,000 scale",other reference,Government / authoritative,Dataset comparison; reference-based comparison; temporal/evolution analysis; spatial/statistical comparison,Indirect,Length-based completeness ratio; temporal comparison; terrain/contextual association; no formal inequality index,Monteiro and Patrício - 2024 - Analysing Temporal Evolution of OpenStreetMap Waterways Completeness in a Mountain Region of Portuga.pdf
India,GS,Road/network data / custom-recorded map features,transportation,OpenStreetMap dataset compared with smartphone GPS/GLONASS custom recorded ground data,Crowdsourced/VGI/open data,Custom recorded ground data collected with GPS/GLONASS smartphone,other reference,Research / open data,Dataset comparison; field/reference-based comparison; external validation; data quality assessment,Indirect,Coverage/completeness comparison; GPS positional accuracy comparison; no formal inequality index,Sehra et al. - 2015 - Quality Assessment of Crowdsourced Data against Custom Recorded Map Data.pdf
China,GS,Road network data,transportation,"OpenStreetMap road data for Wuhan, China",Crowdsourced/VGI/open data,2011 navigation map,transportation,Commercial/proprietary,Dataset comparison; reference-based comparison; spatial/statistical comparison; multi-dimensional data quality assessment,Indirect,"Completeness, thematic accuracy, and positional accuracy metrics; no formal inequality index",Wang et al. - 2013 - QUALITY ANALYSIS OF OPEN STREET MAP DATA.pdf
Brazil,GS,OSM contribution/update data / topographic mapping updates,geospatial metadata / contribution activity,OpenStreetMap updates in rural and urban Brazil,Crowdsourced/VGI/open data,No single reference dataset; official Brazilian topographic map coverage context,topographic / base map data,Government / authoritative,Intrinsic evaluation; temporal/update analysis; spatial/statistical comparison; socioeconomic association,Indirect,Update density/completeness indicators; spatial distribution analysis; correlation with economic/development variables; no formal inequality index,"Camboim et al. - 2015 - An Investigation into the Completeness of, and the Updates to, OpenStreetMap Data in a Heterogeneous.pdf"
China,GS,"Multi-feature volunteered geographic features / OSM points, lines, and polygons",multi-feature topographic,OpenStreetMap features for 333 Chinese cities,Crowdsourced/VGI/open data,Reference/quality checks for completeness and accuracy; socioeconomic/demographic comparison data,mixed reference data,Multiple ownership,Direct inequality assessment; spatial/statistical comparison; socioeconomic association; regression analysis,Direct,Feature volume coverage measures; completeness/accuracy indicators; geographically weighted regression; no Gini/Theil,Su et al. - 2017 - Coverage inequality and quality of volunteered geographic features in Chinese cities Analyzing the.pdf
Multiple countries,Multiple countries,Land-cover/land-use data / OSM LCLU classes,land-use / land-cover,OSM-based LCLU data for 168 countries worldwide,Crowdsourced/VGI/open data,Global open land-cover data / CCI-LC used to produce and evaluate OSM-based LC datasets,land-use / land-cover data,Multiple ownership,Dataset comparison; reference-based comparison; spatial/statistical comparison; spatial regression analysis,Direct,Completeness and accuracy rates; OLS/SLM/SEM regression models; country-level spatial comparison; no formal inequality index,Zhou et al. - 2022 - Exploring the accuracy and completeness patterns of global land-coverland-use data in OpenStreetMap.pdf
German,GN,Building data / OSM building footprints,building / settlement data,OpenStreetMap building footprints in German test areas,Crowdsourced/VGI/open data,Official building footprint data from national mapping and cadastral agencies,building / settlement data,Government / authoritative,Dataset comparison; reference-based comparison; temporal/evolution analysis; spatial/statistical comparison,Indirect,Object-based completeness; count/area completeness; temporal comparison; no formal inequality index,Hecht et al. - 2013 - Measuring Completeness of Building Footprints in OpenStreetMap over Space and Time.pdf
